-20,00;382,00
-19,00;344,00
-18,00;308,00
-17,00;274,00
-16,00;242,00
-15,00;212,00
-14,00;184,00
-13,00;158,00
-12,00;134,00
-11,00;112,00
-10,00;92,00
-9,00;74,00
-8,00;58,00
-7,00;44,00
-6,00;32,00
-5,00;22,00
-4,00;14,00
-3,00;8,00
-2,00;4,00
-1,00;2,00
0,00;2,00
1,00;4,00
2,00;8,00
3,00;14,00
4,00;22,00
5,00;32,00
6,00;44,00
7,00;58,00
8,00;74,00
9,00;92,00
10,00;112,00
11,00;134,00
12,00;158,00
13,00;184,00
14,00;212,00
15,00;242,00
16,00;274,00
17,00;308,00
18,00;344,00
19,00;382,00
20,00;422,00
